symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HAPPSTMNDS,INE419U01012,2024-02-13,BSE,EQ,A,buy,false,7.000000,824.700000,121276900,1707800894605000641,2024-02-13T10:41:37
HAPPSTMNDS,INE419U01012,2024-03-01,NSE,EQ,EQ,buy,false,5.000000,852.450000,21672347,1100000008090172,2024-03-01T09:56:40
HAPPSTMNDS,INE419U01012,2024-03-15,NSE,EQ,EQ,buy,false,3.000000,799.700000,28113970,1100000044607677,2024-03-15T14:31:09
HAPPSTMNDS,INE419U01012,2024-03-27,BSE,EQ,A,buy,false,5.000000,767.000000,27713800,1711512607127695110,2024-03-27T09:44:44
HAPPSTMNDS,INE419U01012,2024-05-03,BSE,EQ,A,buy,false,5.000000,807.800000,112779200,1714725082590462303,2024-05-03T14:10:24
HAPPSTMNDS,INE419U01012,2024-06-03,BSE,EQ,A,buy,false,5.000000,785.900000,200235800,1717402718802784944,2024-06-03T13:53:44
HAPPSTMNDS,INE419U01012,2024-06-04,NSE,EQ,EQ,buy,false,3.000000,767.100000,27868542,1100000036246127,2024-06-04T11:08:37
HAPPSTMNDS,INE419U01012,2024-06-27,NSE,EQ,EQ,buy,false,12.000000,825.000000,29789119,1100000030872190,2024-06-27T11:51:48
HAPPSTMNDS,INE419U01012,2024-08-08,NSE,EQ,EQ,buy,false,5.000000,780.000000,204257852,1100000025071813,2024-08-08T11:13:11
HAPPSTMNDS,INE419U01012,2024-10-11,NSE,EQ,EQ,buy,false,1.000000,803.150000,204423273,1100000027746828,2024-10-11T13:02:58
HAPPSTMNDS,INE419U01012,2024-10-11,NSE,EQ,EQ,buy,false,2.000000,803.200000,204423274,1100000027746828,2024-10-11T13:02:58
HAPPSTMNDS,INE419U01012,2024-10-31,BSE,EQ,A,buy,false,2.000000,766.950000,98737200,1730363648690568824,2024-10-31T14:08:53
HAPPSTMNDS,INE419U01012,2024-11-04,BSE,EQ,A,buy,false,2.000000,759.050000,109909400,1730706349519095007,2024-11-04T13:18:23
HAPPSTMNDS,INE419U01012,2024-11-08,BSE,EQ,A,buy,false,2.000000,771.450000,117114700,1731056871909330129,2024-11-08T14:39:47
HAPPSTMNDS,INE419U01012,2024-11-14,BSE,EQ,A,buy,false,2.000000,736.900000,80625800,1731563587262240286,2024-11-14T11:26:46
HAPPSTMNDS,INE419U01012,2024-11-25,BSE,EQ,A,buy,false,2.000000,723.000000,127166400,1732523359546609868,2024-11-25T14:06:43
HAPPSTMNDS,INE419U01012,2024-12-02,BSE,EQ,A,buy,false,2.000000,725.200000,47775400,1733113557689246227,2024-12-02T09:57:41
HAPPSTMNDS,INE419U01012,2024-12-13,BSE,EQ,A,buy,false,1.000000,738.450000,2807900,1734065356109238482,2024-12-13T10:28:43
